# category	url	filename
# --- existing ---
ffmpeg	https://ffmpeg.org/ffmpeg-codecs.html	ffmpeg-codecs.txt
ffmpeg	https://raw.githubusercontent.com/FFmpeg/FFmpeg/master/README.md	README.md
livekit	https://docs.livekit.io/llms.txt	llms.txt
livekit	https://docs.livekit.io/home/llms.txt	home-llms.txt
livekit	https://raw.githubusercontent.com/livekit/livekit/master/README.md	livekit-readme.md
# --- kubernetes / helm ---
kubernetes	https://raw.githubusercontent.com/kubernetes/website/main/content/en/docs/home/_index.md	home.md
kubernetes	https://raw.githubusercontent.com/kubernetes/website/main/content/en/docs/concepts/overview/_index.md	overview.md
kubernetes	https://raw.githubusercontent.com/kubernetes/website/main/content/en/docs/concepts/workloads/pods/_index.md	pods.md
kubernetes	https://raw.githubusercontent.com/kubernetes/website/main/content/en/docs/concepts/services-networking/service.md	service.md
kubernetes	https://raw.githubusercontent.com/kubernetes/website/main/content/en/docs/concepts/workloads/controllers/deployment.md	deployment.md
kubernetes	https://raw.githubusercontent.com/kubernetes/website/main/content/en/docs/reference/kubectl/_index.md	kubectl.md
helm	https://raw.githubusercontent.com/helm/helm/main/README.md	README.md
helm	https://raw.githubusercontent.com/helm/charts/master/README.md	charts-readme.md
helm	https://helm.sh/docs/topics/charts/	charts-guide.txt
helm	https://helm.sh/docs/chart_template_guide/getting_started/	chart-template-getting-started.txt
helm	https://helm.sh/docs/intro/quickstart/	quickstart.txt
# --- databases (postgres llms-full is above) ---
database	https://redis.io/llms.txt	redis-llms.txt
database	https://docs.sqlalchemy.org/en/latest/llms.txt	sqlalchemy-llms.txt
database	https://www.sqlite.org/lang.html	sqlite-lang.html
database	https://www.sqlite.org/lang_select.html	sqlite-lang-select.html
database	https://www.sqlite.org/wal.html	sqlite-wal.html
# --- matrix protocol ---
matrix	https://raw.githubusercontent.com/matrix-org/matrix-spec/main/content/_index.md	spec-overview.md
matrix	https://raw.githubusercontent.com/matrix-org/matrix-spec/main/content/client-server-api/_index.md	client-server-api.md
matrix	https://raw.githubusercontent.com/matrix-org/matrix-spec/main/content/server-server-api.md	server-server-api.md
matrix	https://raw.githubusercontent.com/matrix-org/matrix-spec/main/content/olm-megolm/olm.md	olm.md
matrix	https://raw.githubusercontent.com/matrix-org/matrix-spec/main/content/olm-megolm/megolm.md	megolm.md
matrix	https://raw.githubusercontent.com/matrix-org/matrix-spec/main/content/rooms/_index.md	rooms.md
# --- messaging ---
nats	https://docs.nats.io/llms.txt	llms.txt
nats	https://docs.nats.io/llms-full.txt	llms-full.txt
rabbitmq	https://raw.githubusercontent.com/rabbitmq/rabbitmq-website/main/docs/queues.md	queues.md
rabbitmq	https://raw.githubusercontent.com/rabbitmq/rabbitmq-website/main/docs/exchanges.md	exchanges.md
rabbitmq	https://raw.githubusercontent.com/rabbitmq/rabbitmq-website/main/docs/amqp.md	amqp.md
rabbitmq	https://raw.githubusercontent.com/rabbitmq/rabbitmq-website/main/docs/consumers.md	consumers.md
rabbitmq	https://raw.githubusercontent.com/rabbitmq/rabbitmq-website/main/docs/publishers/index.md	publishers.md
rabbitmq	https://raw.githubusercontent.com/rabbitmq/rabbitmq-website/main/docs/streams.md	streams.md
rabbitmq	https://raw.githubusercontent.com/rabbitmq/rabbitmq-website/main/docs/clustering.md	clustering.md
rabbitmq	https://raw.githubusercontent.com/rabbitmq/rabbitmq-website/main/docs/reliability.md	reliability.md
rabbitmq	https://raw.githubusercontent.com/rabbitmq/rabbitmq-website/main/docs/configure.md	configure.md
rabbitmq	https://raw.githubusercontent.com/rabbitmq/rabbitmq-website/main/docs/cli.md	cli.md
# --- HTTP protocols (RFC 911x series) ---
http	https://www.rfc-editor.org/rfc/rfc9110.txt	rfc9110-http-semantics.txt
http	https://www.rfc-editor.org/rfc/rfc9112.txt	rfc9112-http11.txt
http	https://www.rfc-editor.org/rfc/rfc9113.txt	rfc9113-http2.txt
http	https://www.rfc-editor.org/rfc/rfc9114.txt	rfc9114-http3.txt
# --- networking (TCP/IP, QUIC) ---
networking	https://www.rfc-editor.org/rfc/rfc791.txt	rfc791-ipv4.txt
networking	https://www.rfc-editor.org/rfc/rfc768.txt	rfc768-udp.txt
networking	https://www.rfc-editor.org/rfc/rfc9293.txt	rfc9293-tcp.txt
networking	https://www.rfc-editor.org/rfc/rfc9000.txt	rfc9000-quic.txt
